"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","EPS Growth This Year","EPS Growth Next Year","EPS Growth Past 5 Years","EPS Growth Next 5 Years","Sales Growth Past 5 Years","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Average Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Relative Volume","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Dividend Yield","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date"
"1","A","Agilent Technologies Inc","Healthcare","Diagnostics & Research","USA","35584.05","27.53","125.81","0.74%","1527868","19.24","2.10","5.12","5.28","19.89","30.89","6.16%","10.21%","14.68%","9.16%","5.41%","283.05","281.90","0.33%","-2.20%","92.15%","0.84%","1.52%","2.07","2073.17","-2.91%","-13.78%","-16.97%","5.84%","-7.54%","-7.80%","-18.62%","-1.70%","247.35%","2.94%","2.73%","0.74","1.31","3.74","-5.31%","-9.11%","-2.50%","-21.50%","30.47%","31.91","0.17%","0.58%","0.82%","10.55%","20.62%","13.11%","1.96","1.52","0.47","0.53","52.50%","22.60%","18.75%","2/25/2026 4:30:00 PM"
"2","AA","Alcoa Corp","Basic Materials","Aluminum","USA","15524.89","13.39","59.95","-0.93%","8968754","10.93","0.66","1.23","2.45","9.57","27.38","29.27%","12.52%","","16.60%","6.48%","258.96","257.80","0.45%","0.00%","80.99%","1.39%","2.13%","0.76","7211.40","1.34%","-7.16%","49.76%","91.35%","12.82%","64.79%","25.03%","176.78%","","6.27%","5.56%","1.24","1.85","3.38","-0.75%","6.70%","57.52%","-10.46%","178.45%","51.40","1.92%","-2.79%","0.67%","7.73%","20.73%","13.65%","1.45","0.87","0.40","0.40","12.46%","9.90%","9.31%","1/22/2026 4:30:00 PM"
"3","AAL","American Airlines Group Inc","Industrials","Airlines","USA","9162.00","83.36","13.88","-1.21%","41482198","5.11","0.05","0.17","","1.39","","481.54%","29.73%","","108.80%","25.80%","660.30","650.00","1.53%","-0.86%","68.81%","3.32%","6.37%","0.76","54549.48","-8.92%","-8.32%","3.12%","8.27%","-9.46%","-11.82%","-15.93%","-19.63%","-63.30%","4.49%","4.08%","0.76","1.21","0.63","-3.37%","-7.44%","8.20%","-15.88%","63.29%","42.72","-1.49%","0.28%","","0.18%","","0.40%","0.50","0.38","","","19.17%","2.98%","0.20%","1/27/2026 8:30:00 AM"
"4","AAOI","Applied Optoelectronics Inc","Technology","Communication Equipment","USA","3035.72","","44.46","1.07%","2745300","50.40","","7.20","5.41","20.14","","58.81%","371.12%","-6.34%","","5.49%","68.06","64.54","5.48%","-1.99%","69.04%","8.74%","17.92%","2.23","5179.29","0.36%","28.98%","85.71%","111.61%","27.54%","64.42%","1584.09%","262.94%","190.59%","11.75%","12.60%","0.53","3.34","4.99","6.48%","20.49%","61.62%","-12.48%","357.83%","55.35","0.82%","0.25%","","-22.46%","-40.43%","-21.37%","2.31","1.63","0.30","0.42","29.19%","-11.76%","-36.97%","2/26/2026 4:30:00 PM"
"5","AAON","AAON Inc","Industrials","Building Products & Equipment","USA","8248.31","83.88","101.04","-0.56%","1115542","50.69","3.22","6.27","9.55","3633.62","","-30.28%","41.54%","24.26%","15.74%","20.67%","81.59","67.58","17.21%","-0.32%","94.99%","14.86%","12.15%","8.46","970.26","4.78%","15.03%","-0.98%","21.57%","32.51%","-10.47%","94.81%","91.34%","634.30%","4.42%","4.79%","1.15","1.08","4.52","6.10%","16.99%","14.20%","-12.93%","62.97%","65.20","-0.36%","-0.20%","0.40%","7.82%","12.08%","7.99%","3.04","2.03","0.45","0.46","24.77%","10.01%","7.62%","11/6/2025 8:30:00 AM"
"6","AAP","Advance Auto Parts Inc","Consumer Cyclical","Auto Parts","USA","3532.31","80.77","58.85","1.08%","5147015","14.66","0.51","0.41","1.61","1.13","","19.70%","48.39%","-36.70%","28.52%","-3.17%","60.00","58.95","1.78%","-0.71%","121.57%","-6.62%","19.59%","6.31","1830.54","6.42%","37.24%","15.35%","3.52%","49.75%","21.12%","-61.33%","-61.49%","-58.19%","7.62%","6.10%","2.81","1.11","3.21","15.85%","26.38%","14.93%","-15.93%","103.70%","73.13","-6.59%","8.21%","1.72%","0.56%","3.11%","0.59%","1.75","0.87","2.38","2.57","43.72%","1.87%","0.51%","2/13/2026 8:30:00 AM"
"7","AAPG","Ascentage Pharma Group International ADR","Healthcare","Biotechnology","China","2210.02","","23.82","2.67%","4888","","","40.87","22.22","9.53","","-37.62%","19.75%","36.70%","0.82%","130.37%","52.23","","","","0.06%","3.35%","","0.19","3.90","-2.85%","-15.89%","-27.71%","-43.89%","-9.22%","38.01%","","","","2.44%","2.40%","1.25","0.85","0.94","-4.35%","-12.47%","-28.35%","-50.84%","39.38%","40.74","-1.79%","4.55%","","-37.67%","-161.90%","-74.33%","1.54","1.53","1.32","2.58","70.27%","-287.25%","-297.05%","8/20/2025 4:30:00 PM"
"8","AAPL","Apple Inc","Technology","Consumer Electronics","USA","3755141.88","32.36","255.78","-2.27%","56290673","27.56","2.47","8.62","42.64","56.12","30.45","13.28%","9.83%","17.91%","11.17%","8.71%","14702.70","14665.90","0.10%","-2.12%","65.87%","0.71%","0.80%","2.41","48514.76","-8.03%","-1.61%","-6.47%","9.88%","-5.91%","5.90%","66.25%","88.95%","988.54%","2.80%","2.45%","1.16","1.10","6.54","-2.48%","-4.37%","6.55%","-11.38%","51.16%","39.44","-2.38%","0.11%","0.42%","32.56%","152.02%","71.43%","0.97","0.94","0.87","1.03","47.33%","32.38%","27.04%","1/29/2026 4:30:00 PM"
"9","AAUC","Allied Gold Corp","Basic Materials","Gold","Canada","3903.85","","31.47","0.58%","408361","","","3.63","11.10","14.89","","","","","","","116.90","97.23","21.62%","0.00%","56.42%","6.09%","3.19%","3.31","936.26","0.90%","15.44%","86.99%","162.47%","37.54%","207.62%","","","","1.02%","2.37%","0.44","-0.98","0.73","1.53%","18.01%","76.34%","-1.90%","262.98%","68.54","0.58%","0.00%","","-2.82%","-14.14%","-11.17%","0.70","0.53","0.04","0.42","30.37%","21.86%","-3.58%","11/5/2025 4:30:00 PM"
"10","AB","AllianceBernstein Holding Lp","Financial","Asset Management","USA","3772.98","13.60","40.84","0.79%","369672","10.13","1.04","","3.05","","10.71","8.86%","11.21%","0.57%","9.73%","","92.18","90.01","2.57%","-1.32%","15.14%","-17.91%","0.39%","1.03","341.53","3.58%","4.96%","2.79%","-0.92%","6.13%","13.60%","1.11%","8.44%","135.93%","2.65%","3.71%","1.08","0.86","1.37","-0.20%","1.78%","2.15%","-7.41%","26.52%","51.94","1.26%","-0.47%","8.98%","18.31%","18.35%","24.24%","","","0.00","0.00","","","","2/5/2026 8:30:00 AM"
"11","ABBV","Abbvie Inc","Healthcare","Drug Manufacturers - General","USA","409149.54","97.80","231.50","1.76%","8252480","14.45","0.68","6.69","","72.15","20.79","44.45%","10.90%","-2.63%","21.20%","5.95%","1767.38","1765.75","0.09%","0.00%","75.58%","0.46%","1.11%","3.02","6515.79","3.61%","4.33%","-0.74%","13.10%","1.32%","19.67%","50.59%","121.66%","340.28%","2.59%","2.76%","1.27","0.33","6.38","4.63%","3.44%","9.91%","-5.44%","40.82%","61.15","1.35%","0.40%","2.95%","1.69%","138.53%","6.96%","0.72","0.60","","","83.38%","33.00%","6.86%","2/4/2026 8:30:00 AM"
"12","ABCB","Ameris Bancorp","Financial","Banks - Regional","USA","5739.84","13.99","84.02","0.96%","452790","12.09","","3.45","1.40","","14.55","8.59%","6.81%","9.72%","","7.85%","68.02","64.60","5.44%","0.02%","94.87%","-0.28%","2.30%","3.09","481.92","-2.23%","5.41%","13.68%","17.87%","13.13%","25.76%","72.07%","82.93%","226.80%","3.14%","3.26%","0.94","0.97","2.47","2.15%","6.01%","17.62%","-4.50%","74.06%","59.51","1.40%","-0.43%","0.99%","1.53%","10.53%","8.64%","0.17","","0.17","0.17","","32.10%","24.79%","1/29/2026 4:30:00 PM"
"13","ABEV","Ambev S.A. ADR","Consumer Defensive","Beverages - Brewers","Brazil","48492.36","17.49","3.11","-2.81%","20791609","15.07","2.02","3.07","3.03","13.08","13.57","6.51%","7.72%","4.85%","7.45%","6.89%","15616.53","","0.00%","","7.04%","0.32%","","5.21","29762.43","5.78%","19.16%","22.92%","42.66%","25.91%","66.31%","33.23%","23.52%","-16.40%","2.51%","2.27%","0.70","0.67","0.08","8.78%","17.66%","28.21%","-3.72%","69.02%","75.32","-0.32%","-2.50%","5.88%","10.35%","17.42%","16.95%","0.96","0.73","0.03","0.04","47.88%","22.73%","17.63%","2/12/2026 8:30:00 AM"
"14","ABG","Asbury Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships","USA","4460.44","9.15","229.44","-1.97%","210859","7.74","","0.25","1.15","110.41","7.54","-3.42%","9.29%","13.77%","","20.34%","19.44","19.28","0.84%","-2.44%","105.46%","-2.48%","5.44%","5.55","188.80","1.88%","-6.55%","2.08%","-5.27%","-1.33%","-23.45%","-1.21%","45.22%","367.77%","3.90%","3.51%","1.12","0.79","8.82","-2.94%","-4.17%","-3.64%","-25.13%","13.76%","44.51","-2.21%","0.24%","","5.11%","13.31%","6.59%","0.95","0.32","0.92","1.44","16.61%","5.56%","2.73%","2/5/2026 8:30:00 AM"
"15","ABM","ABM Industries Inc","Industrials","Specialty Business Services","USA","2678.51","17.20","44.51","2.46%","402682","10.21","1.07","0.31","1.50","25.73","17.27","15.94%","9.26%","256.47%","9.56%","7.87%","60.18","59.15","1.70%","-4.12%","96.76%","-5.08%","3.81%","3.32","679.57","-6.41%","1.21%","5.25%","-8.02%","5.22%","-16.29%","-8.40%","7.93%","46.56%","3.65%","2.55%","0.59","0.73","1.22","-3.01%","-0.77%","-3.97%","-18.93%","11.27%","45.37","1.69%","0.76%","2.57%","3.02%","9.10%","4.75%","1.48","1.48","0.91","0.95","11.69%","3.73%","1.86%","12/17/2025 8:30:00 AM"
"16","ABNB","Airbnb Inc","Consumer Cyclical","Travel Services","USA","74488.14","30.02","121.35","4.65%","11008598","21.09","1.16","6.05","8.91","6.74","16.15","22.78%","16.27%","","18.18%","29.50%","426.00","414.99","31.28%","-1.41%","56.31%","2.55%","3.93%","3.52","4642.78","-0.68%","-8.62%","-0.28%","-2.64%","-10.59%","-13.96%","4.23%","-42.94%","","3.77%","3.30%","2.37","1.16","4.47","-4.42%","-7.01%","-5.53%","-25.97%","21.50%","40.54","-4.04%","9.06%","","11.63%","30.23%","29.88%","1.38","1.38","0.02","0.28","72.27%","21.21%","20.40%","2/12/2026 4:30:00 PM"
"17","ABT","Abbott Laboratories","Healthcare","Medical Devices","USA","195936.09","30.43","112.68","1.09%","7696671","18.04","1.80","4.42","3.85","25.34","28.33","10.22%","10.03%","8.29%","10.05%","5.08%","1738.87","1727.01","0.68%","0.23%","80.95%","0.83%","1.08%","2.09","8975.23","1.67%","-9.86%","-12.53%","-12.84%","-10.06%","-14.50%","3.83%","-12.13%","203.47%","1.79%","2.38%","0.86","0.74","2.58","1.25%","-5.77%","-12.10%","-20.22%","7.04%","45.46","0.81%","0.27%","2.18%","17.53%","30.62%","10.35%","1.70","1.24","0.23","0.25","58.89%","18.69%","14.61%","1/22/2026 8:30:00 AM"
"18","ABVX","Abivax ADR","Healthcare","Biotechnology","France","9882.96","","124.99","0.36%","793990","","","","16.19","14.26","","-41.71%","19.78%","-1.44%","-0.23%","","77.83","69.97","11.52%","0.00%","58.59%","13.89%","5.23%","2.28","1600.75","6.22%","-0.02%","20.85%","79.69%","-7.32%","1643.24%","","","","3.64%","4.93%","0.50","1.13","6.00","6.01%","2.84%","69.40%","-16.02%","2520.34%","58.03","0.79%","-0.43%","","-66.45%","-147.48%","-30.75%","7.86","7.86","0.03","0.09","","","","12/15/2025 4:30:00 PM"
"19","ACA","Arcosa Inc","Industrials","Engineering & Construction","USA","6251.77","42.20","127.47","0.59%","219572","26.93","1.32","2.21","2.42","28.42","19.92","39.74%","12.16%","-3.76%","20.44%","8.15%","49.10","48.16","1.80%","0.00%","93.08%","-0.82%","1.60%","3.51","219.50","2.19%","13.51%","27.00%","31.25%","19.89%","26.80%","118.57%","97.41%","","2.89%","2.46%","1.00","0.97","3.09","7.05%","12.38%","30.47%","-2.69%","87.15%","74.14","0.17%","0.43%","0.16%","3.15%","5.91%","3.52%","2.02","1.30","0.63","0.64","21.61%","11.29%","5.23%","2/26/2026 4:30:00 PM"
"20","ACAD","Acadia Pharmaceuticals Inc","Healthcare","Biotechnology","USA","3727.08","14.17","22.03","1.94%","985351","30.82","","3.56","4.06","4.40","18.84","-39.88%","-12.58%","","-7.12%","23.08%","169.15","167.35","1.08%","-4.11%","100.10%","-0.51%","5.57%","6.76","1377.15","-6.49%","-17.98%","-8.70%","-10.19%","-17.52%","11.43%","14.86%","-56.05%","20.65%","3.04%","3.78%","0.72","0.69","0.89","-11.36%","-15.59%","-5.48%","-22.29%","64.40%","29.44","0.64%","1.30%","","22.64%","34.95%","27.20%","3.02","2.94","0.05","0.06","91.92%","9.02%","24.94%","2/25/2026 4:30:00 PM"
"21","ACGL","Arch Capital Group Ltd","Financial","Insurance - Diversified","Bermuda","35675.14","8.47","98.38","-1.47%","1962326","9.79","2.77","1.84","1.51","","5.82","-4.60%","6.68%","28.39%","3.54%","18.36%","359.00","350.14","3.44%","-2.18%","90.81%","-1.66%","2.01%","3.24","2178.96","-2.55%","7.77%","7.19%","7.57%","2.56%","9.12%","58.56%","194.34%","353.77%","3.89%","2.39%","0.90","0.40","2.43","2.45%","3.56%","7.30%","-4.85%","19.33%","56.12","-1.47%","0.00%","","6.91%","19.54%","16.18%","0.42","","0.11","0.11","","24.46%","22.44%","2/9/2026 4:30:00 PM"
"22","ACHR","Archer Aviation Inc","Industrials","Aerospace & Defense","USA","4959.64","","6.77","0.15%","25226974","","","","2.67","3.01","","32.93%","-1.02%","-60.86%","14.47%","","651.30","617.28","15.74%","-0.43%","49.28%","-2.12%","14.71%","2.16","41937.47","-7.26%","-24.02%","-21.73%","-32.23%","-9.97%","-28.89%","155.47%","-50.07%","","5.34%","6.24%","0.60","3.11","0.48","-10.98%","-15.73%","-28.99%","-53.69%","23.54%","37.78","-0.88%","1.04%","","-49.19%","-59.13%","-36.11%","18.19","18.19","0.05","0.05","","","","11/6/2025 4:30:00 PM"
"23","ACI","Albertsons Companies Inc","Consumer Defensive","Grocery Stores","USA","9543.37","11.96","18.57","3.57%","5785888","8.17","","0.12","3.81","44.49","18.68","-8.73%","6.44%","11.02%","","5.18%","513.91","352.81","31.35%","-0.25%","67.07%","-0.90%","12.39%","4.97","8785.13","2.65%","4.86%","3.98%","-2.57%","8.15%","-12.98%","-12.73%","49.97%","","3.07%","2.69%","0.66","0.47","0.49","6.90%","7.30%","-2.97%","-19.96%","17.53%","65.91","3.69%","-0.11%","3.23%","3.24%","29.65%","5.24%","0.91","0.20","5.63","6.17","25.19%","2.19%","1.06%","1/7/2026 8:30:00 AM"
"24","ACIW","ACI Worldwide Inc","Technology","Software - Infrastructure","USA","4078.16","16.00","39.56","0.74%","652144","15.52","1.09","2.36","2.76","20.47","13.04","22.60%","8.83%","27.52%","14.24%","4.85%","103.26","101.43","1.61%","-0.25%","100.95%","0.07%","4.00%","5.46","743.31","-6.43%","-13.00%","-16.84%","-15.13%","-17.26%","-24.70%","45.28%","-4.26%","138.89%","3.85%","3.75%","0.88","1.08","1.60","-6.47%","-12.29%","-16.20%","-31.96%","2.67%","35.18","-0.25%","0.99%","","8.34%","18.58%","11.20%","1.58","1.58","0.57","0.62","44.09%","19.83%","15.07%","2/26/2026 8:30:00 AM"
"25","ACLS","Axcelis Technologies Inc","Technology","Semiconductor Equipment & Materials","USA","2902.61","22.35","94.55","4.43%","1086108","21.39","","3.40","2.87","6.46","23.40","-26.85%","-1.76%","64.93%","-9.05%","24.31%","31.00","30.28","1.38%","-1.17%","101.01%","-1.29%","15.69%","8.65","549.39","9.84%","1.43%","10.69%","12.89%","17.69%","52.55%","-26.32%","137.80%","941.30%","4.49%","5.36%","1.98","1.75","4.71","5.79%","6.88%","19.43%","-8.14%","134.03%","58.51","2.94%","1.45%","","10.10%","13.62%","12.51%","4.95","3.32","0.07","0.07","44.15%","16.14%","15.93%","2/17/2026 4:30:00 PM"
"26","ACLX","Arcellx Inc","Healthcare","Biotechnology","USA","3960.87","","68.50","-0.22%","696392","","","110.33","8.98","8.58","","-102.90%","16.94%","-31.14%","2.35%","","57.78","44.49","23.05%","-0.55%","92.40%","1.81%","20.48%","8.46","1077.14","0.69%","-1.95%","-24.01%","-4.68%","5.06%","7.52%","125.48%","","","4.23%","4.62%","0.65","0.36","3.01","-0.32%","1.23%","-4.71%","-27.18%","43.13%","50.15","-1.07%","0.86%","","-30.67%","-47.18%","-44.92%","3.99","3.99","0.10","0.12","80.99%","-675.67%","-607.01%","11/5/2025 4:30:00 PM"
"27","ACM","AECOM","Industrials","Engineering & Construction","USA","11417.48","20.27","88.31","-0.08%","3338940","13.32","1.11","0.72","5.12","9.16","18.54","12.95%","11.59%","","11.98%","4.04%","129.29","128.71","0.45%","-12.90%","91.51%","-1.95%","2.63%","2.07","1630.19","-12.59%","-10.08%","-33.46%","-26.48%","-7.36%","-13.58%","-2.15%","57.64%","260.89%","7.85%","4.02%","2.05","1.08","4.17","-9.11%","-10.03%","-22.35%","-34.84%","3.89%","31.40","-1.22%","1.15%","0.97%","5.06%","27.11%","10.77%","1.10","1.10","1.41","1.50","7.70%","6.71%","3.63%","2/9/2026 4:30:00 PM"
"28","ACMR","ACM Research Inc","Technology","Semiconductor Equipment & Materials","USA","4206.59","37.90","64.84","1.15%","1382735","29.72","3.96","4.78","2.94","3.70","","-22.83%","25.10%","36.00%","7.50%","48.71%","59.85","54.22","16.43%","-5.05%","64.78%","8.20%","5.61%","2.19","1387.89","3.78%","28.42%","91.78%","154.47%","64.36%","179.48%","392.71%","43.84%","","7.56%","7.69%","1.00","1.45","4.56","12.34%","34.25%","87.28%","-9.50%","285.49%","62.68","0.57%","0.58%","0.28%","5.13%","10.09%","7.18%","3.48","2.48","0.14","0.21","46.68%","14.81%","13.30%","2/26/2026 8:30:00 AM"
"29","ACN","Accenture plc","Technology","Information Technology Services","Ireland","137970.23","18.54","224.23","0.98%","7644827","15.00","1.86","1.95","4.47","14.29","11.99","7.10%","7.91%","9.01%","8.05%","9.47%","615.36","613.64","0.27%","-3.62%","82.10%","-0.49%","1.99%","2.77","4418.12","-6.81%","-22.29%","-9.05%","-8.91%","-16.43%","-42.44%","-22.24%","-12.91%","136.78%","4.51%","3.83%","1.73","1.27","10.26","-12.68%","-15.83%","-16.81%","-42.80%","4.22%","30.46","0.46%","0.52%","2.83%","12.22%","25.35%","19.91%","1.41","1.41","0.24","0.27","31.90%","15.59%","10.76%","12/18/2025 8:30:00 AM"
"30","ACT","Enact Holdings Inc","Financial","Insurance - Specialty","USA","6250.89","9.58","43.29","-0.98%","350108","8.48","","5.06","1.19","","8.87","3.71%","6.78%","14.70%","","2.15%","144.40","29.19","79.78%","-4.14%","21.15%","-0.70%","11.46%","11.53","290.17","0.28%","13.03%","15.01%","13.18%","9.21%","29.22%","80.34%","","","2.43%","2.57%","1.21","0.52","1.12","5.53%","7.86%","15.32%","-3.37%","38.40%","62.72","-1.01%","0.02%","1.98%","10.03%","13.03%","11.05%","1.20","","0.14","0.14","","73.51%","54.61%","2/3/2026 4:30:00 PM"
"31","AD","Array Digital Infrastructure Inc","Communication Services","Telecom Services","USA","4396.34","17.39","50.88","0.63%","184897","43.94","","1.56","1.74","13.50","11.94","182.16%","206.37%","","","-1.29%","53.37","15.05","82.58%","-0.00%","19.58%","1.71%","8.01%","3.99","301.97","4.37%","7.19%","30.21%","15.53%","14.33%","33.46%","301.96%","167.12%","138.10%","2.05%","3.07%","0.61","0.17","1.34","4.87%","11.99%","23.75%","0.30%","51.07%","67.72","0.06%","0.57%","45.20%","1.89%","4.11%","6.86%","0.65","0.65","0.47","0.48","36.43%","2.22%","9.02%","2/20/2026 8:30:00 AM"
"32","ADBE","Adobe Inc","Technology","Software - Application","USA","108359.69","15.80","263.97","0.56%","6589694","10.01","0.91","4.56","9.38","16.43","11.00","11.92%","12.54%","9.04%","10.99%","13.06%","413.00","408.86","0.40%","-0.11%","85.91%","-0.36%","2.92%","2.49","4787.03","-1.64%","-13.29%","-21.68%","-24.27%","-24.58%","-42.52%","-29.61%","-47.08%","244.29%","3.18%","3.09%","1.38","1.53","9.73","-6.83%","-16.98%","-25.01%","-43.32%","5.13%","29.88","0.69%","-0.13%","","23.88%","55.43%","39.19%","0.97","0.97","0.57","0.57","88.60%","36.63%","30.00%","12/10/2025 4:30:00 PM"
"33","ADC","Agree Realty Corp","Real Estate","REIT - Retail","USA","9371.81","44.20","78.08","1.96%","1409860","37.19","8.94","13.04","1.54","454.50","18.85","10.13%","7.70%","0.32%","4.16%","23.65%","120.03","117.85","1.81%","3.40%","110.02%","1.13%","4.57%","4.25","1266.58","4.47%","7.98%","6.46%","8.20%","8.40%","8.70%","7.06%","19.99%","112.93%","1.97%","2.03%","1.11","0.52","1.51","5.87%","7.38%","6.65%","-1.97%","13.19%","69.73","1.52%","0.43%","4.08%","2.24%","3.47%","2.18%","0.21","0.21","0.44","0.54","54.43%","48.28%","27.34%","2/10/2026 4:30:00 PM"
"34","ADEA","Adeia Inc","Technology","Software - Application","USA","2058.79","28.97","18.80","2.56%","580636","13.30","2.17","5.42","4.97","17.89","10.10","14.38%","-1.94%","","6.14%","6.07%","109.47","106.50","2.75%","0.00%","95.85%","-1.21%","3.57%","4.36","870.84","3.87%","-0.84%","35.94%","25.84%","8.99%","42.32%","70.60%","238.14%","167.51%","5.01%","4.27%","0.67","2.32","0.83","0.67%","11.07%","24.68%","-7.53%","77.53%","55.50","0.21%","2.35%","1.06%","6.82%","18.53%","8.73%","3.72","3.72","1.03","1.08","84.64%","38.59%","19.32%","2/23/2026 4:30:00 PM"
"35","ADI","Analog Devices Inc","Technology","Semiconductors","USA","164716.70","73.77","337.10","1.73%","3443247","29.36","1.46","14.95","4.88","45.10","38.50","28.70%","14.51%","6.82%","20.08%","14.49%","489.65","487.48","0.23%","-12.71%","89.63%","-1.50%","1.79%","2.19","3966.54","5.20%","13.12%","39.62%","42.71%","24.30%","61.03%","86.81%","109.67%","579.09%","2.80%","2.98%","0.87","1.01","9.50","6.76%","13.99%","34.95%","-1.99%","112.48%","70.49","2.24%","-0.49%","1.24%","4.71%","6.57%","5.37%","2.19","1.68","0.25","0.26","54.68%","27.27%","20.58%","2/18/2026 8:30:00 AM"
"36","ADM","Archer Daniels Midland Co","Consumer Defensive","Farm Products","USA","33404.41","31.19","69.51","0.01%","3063865","14.52","2.02","0.42","1.48","31.90","7.95","19.35%","16.91%","-6.68%","7.20%","4.51%","480.57","477.09","0.72%","0.22%","86.17%","1.75%","2.80%","3.96","3377.82","4.79%","7.60%","20.36%","17.18%","20.91%","52.07%","-15.13%","24.75%","114.21%","2.42%","3.04%","0.91","0.67","1.91","3.02%","10.77%","19.62%","-0.83%","69.62%","67.11","0.55%","-0.53%","3.04%","2.28%","8.49%","9.95%","1.37","0.92","2.36","2.61","5.30%","0.86%","1.34%","2/3/2026 8:30:00 AM"
"37","ADMA","Adma Biologics Inc","Healthcare","Biotechnology","USA","3829.38","18.90","16.09","3.21%","2347996","17.98","0.51","7.84","8.89","62.39","94.02","19.98%","52.99%","","35.20%","70.79%","238.33","229.92","3.40%","-1.28%","94.48%","2.92%","8.45%","8.03","2420.65","-2.07%","-11.98%","-2.25%","-5.19%","-11.79%","0.06%","339.62%","476.70%","264.85%","3.54%","4.30%","0.97","0.51","0.74","-3.96%","-11.06%","-9.19%","-37.32%","19.19%","40.56","2.42%","0.77%","","43.67%","63.17%","41.01%","7.13","3.65","0.18","0.19","54.68%","34.19%","42.87%","11/5/2025 4:30:00 PM"
"38","ADNT","Adient plc","Consumer Cyclical","Auto Parts","USA","2122.26","","27.09","3.12%","1307687","8.34","0.29","0.14","1.22","2.48","12.56","10.45%","52.34%","10.31%","28.37%","2.78%","78.33","76.72","2.07%","-0.15%","102.86%","-1.34%","9.18%","5.71","1232.70","2.38%","14.79%","28.39%","13.11%","41.31%","57.41%","-35.82%","-26.78%","","3.91%","4.90%","1.06","1.52","1.14","16.25%","28.24%","29.07%","-0.40%","169.82%","72.27","2.69%","0.42%","1.86%","-3.50%","-16.78%","-7.06%","1.09","0.88","1.47","1.53","6.53%","2.89%","-2.06%","2/4/2026 8:30:00 AM"
"39","ADP","Automatic Data Processing Inc","Technology","Software - Application","USA","85404.90","20.38","212.11","1.02%","3840667","17.68","1.93","4.03","13.37","34.57","18.58","9.57%","9.40%","11.86%","9.14%","7.10%","403.00","402.06","0.14%","-21.12%","84.37%","0.23%","2.21%","3.42","2604.62","-8.32%","-17.95%","-16.67%","-29.69%","-17.54%","-31.63%","-6.71%","26.99%","159.49%","2.99%","2.39%","1.47","0.88","5.86","-12.00%","-16.05%","-25.42%","-35.71%","1.67%","17.79","0.68%","0.34%","3.06%","5.69%","73.84%","39.52%","1.03","1.03","0.68","0.70","50.43%","26.27%","19.96%","1/28/2026 8:30:00 AM"
"40","ADPT","Adaptive Biotechnologies Corp","Healthcare","Biotechnology","USA","2448.75","","16.04","3.22%","1344899","","","8.84","11.27","10.79","","-24.33%","45.28%","18.85%","47.95%","23.00%","153.78","147.08","3.66%","-22.40%","97.24%","-0.38%","6.14%","3.78","2391.65","1.71%","-11.09%","10.62%","24.15%","-1.23%","88.26%","84.58%","-75.88%","","5.67%","6.56%","0.56","2.21","1.10","-8.19%","-4.76%","16.52%","-22.74%","156.43%","41.25","3.28%","-0.06%","","-11.31%","-28.23%","-14.32%","3.34","3.23","0.90","0.96","70.70%","-20.62%","-21.48%","2/5/2026 4:30:00 PM"
"41","ADSK","Autodesk Inc","Technology","Software - Application","USA","49018.64","44.89","231.22","3.46%","2752943","19.97","1.23","7.14","16.94","21.41","23.18","20.83%","13.11%","39.67%","16.29%","13.42%","212.00","211.28","0.34%","-4.68%","92.58%","-1.27%","2.22%","2.50","1878.32","-3.82%","-11.50%","-23.37%","-18.51%","-21.89%","-23.81%","3.22%","-24.22%","414.74%","4.69%","3.45%","1.47","1.47","9.71","-7.99%","-16.27%","-21.70%","-29.74%","7.04%","32.60","3.30%","0.15%","","10.42%","40.33%","19.95%","0.82","0.82","0.93","0.95","84.96%","18.97%","16.17%","2/26/2026 4:30:00 PM"
"42","ADT","ADT Inc","Industrials","Security & Protection Services","USA","6344.96","11.05","7.74","1.31%","11676062","8.39","0.78","1.24","1.73","37.10","4.57","17.37%","4.75%","","10.71%","-0.90%","764.98","647.70","20.99%","0.00%","81.72%","5.82%","4.12%","3.10","8622.71","-4.09%","-6.18%","-6.86%","-10.73%","-4.09%","3.20%","-7.19%","-17.04%","","3.77%","2.69%","1.35","1.02","0.22","-3.00%","-4.14%","-7.41%","-13.37%","6.32%","41.62","0.78%","0.52%","2.84%","4.06%","17.24%","5.81%","0.67","0.54","2.01","2.16","49.36%","25.22%","12.53%","11/4/2025 8:30:00 AM"
