"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","EPS Growth This Year","EPS Growth Next Year","EPS Growth Past 5 Years","EPS Growth Next 5 Years","Sales Growth Past 5 Years","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Average Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Relative Volume","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Dividend Yield","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date"
"1438","PL","Planet Labs PBC","Industrials","Aerospace & Defense","USA","7474.58","","22.42","5.26%","6457674","","","26.46","20.11","11.02","183.65","60.66%","-2.30%","31.85%","60.27%","20.61%","292.44","255.48","23.37%","-1.46%","52.03%","13.86%","15.25%","3.12","12483.09","0.72%","-16.12%","80.23%","228.74%","13.69%","259.29%","391.67%","","","9.52%","9.51%","0.52","1.98","2.06","-9.00%","4.62%","92.55%","-27.44%","703.58%","47.91","4.28%","0.94%","","-14.92%","-31.83%","-16.14%","3.99","3.99","1.30","1.32","57.95%","-26.40%","-45.87%","12/10/2025 4:30:00 PM"
"1439","PLAB","Photronics, Inc","Technology","Semiconductor Equipment & Materials","USA","2291.71","16.95","38.80","4.02%","1220159","17.48","","2.70","1.91","3.90","38.41","5.97%","4.23%","34.53%","","6.85%","57.63","56.31","4.67%","-9.89%","91.08%","-0.47%","5.40%","2.18","1393.81","4.19%","23.49%","72.83%","81.73%","21.25%","72.29%","112.25%","192.39%","311.02%","5.24%","6.52%","0.88","1.49","2.21","8.02%","14.49%","59.40%","-2.51%","135.75%","63.66","4.50%","-0.46%","","7.76%","11.89%","11.58%","5.37","4.99","0.00","0.01","35.30%","24.54%","16.06%","2/25/2026 8:30:00 AM"
"1440","PLBL","Polibeli Group Ltd","Consumer Cyclical","Department Stores","Indonesia","3407.04","","8.81","-5.26%","1103","","","","1.69","42588.00","","","","","","","366.39","156.36","57.32%","0.00%","0.87%","3.18%","0.02%","4.28","7.07","-3.19%","-16.33%","4.38%","-12.86%","-19.62%","-13.29%","","","","4.34%","6.59%","0.16","-1.39","0.76","-8.70%","-13.41%","-8.06%","-38.43%","57.32%","42.99","0.92%","-6.12%","","-1.98%","-2.15%","-1.07%","0.04","0.04","0.00","0.00","","","",""
"1441","PLD","Prologis Inc","Real Estate","REIT - Industrial","USA","132149.49","39.07","138.97","1.90%","3096614","38.47","10.99","15.03","2.43","115.35","32.08","-5.65%","7.55%","12.73%","3.50%","14.64%","929.15","926.46","0.26%","-4.17%","96.70%","-0.36%","1.28%","3.28","3600.67","1.47%","5.11%","11.32%","31.29%","8.86%","14.95%","7.49%","29.07%","285.28%","2.60%","2.27%","0.86","1.42","2.99","4.70%","6.58%","18.49%","-2.10%","62.82%","64.03","1.05%","0.84%","3.06%","3.43%","6.21%","3.76%","0.52","0.52","0.66","0.70","44.70%","38.84%","37.80%","1/21/2026 8:30:00 AM"
"1442","PLMR","Palomar Holdings Inc","Financial","Insurance - Property & Casualty","USA","3500.87","18.38","132.10","4.01%","495480","12.47","0.87","4.00","3.72","","9.61","17.12%","15.07%","96.55%","14.37%","39.06%","26.52","25.86","2.43%","-10.73%","94.63%","-2.68%","1.64%","1.76","241.50","3.51%","1.37%","-0.26%","9.54%","-1.97%","5.65%","159.63%","18.08%","","7.00%","4.62%","2.05","0.45","6.06","4.44%","3.34%","-0.16%","-24.88%","22.60%","56.87","3.77%","0.23%","","10.33%","23.58%","22.44%","1.16","","0.00","0.00","","28.95%","22.50%","2/11/2026 4:30:00 PM"
"1443","PLNT","Planet Fitness Inc","Consumer Cyclical","Leisure","USA","7555.23","37.07","90.70","2.30%","1642241","25.61","1.43","5.86","","15.12","37.25","17.34%","16.55%","7.33%","17.93%","11.40%","82.98","82.64","0.41%","0.00%","117.49%","-1.95%","9.05%","4.82","1550.20","-0.99%","-9.91%","-12.60%","-13.49%","-16.38%","-12.67%","10.01%","17.64%","654.12%","3.33%","2.90%","1.06","1.24","2.95","-2.31%","-10.81%","-11.90%","-20.77%","3.73%","36.83","2.92%","-0.60%","","6.74%","","8.73%","2.08","2.06","","","39.82%","28.98%","15.97%","2/24/2026 8:30:00 AM"
"1444","PLTR","Palantir Technologies Inc","Technology","Software - Infrastructure","USA","313207.59","206.52","131.41","1.77%","49438053","71.83","1.44","69.98","47.52","43.64","149.10","71.49%","42.24%","","50.01%","32.58%","2383.43","2181.03","8.49%","-1.30%","55.73%","2.87%","2.05%","0.98","45448.49","-3.30%","-26.34%","-28.65%","-27.41%","-26.07%","11.45%","1626.81%","311.81%","","6.36%","5.45%","1.09","1.72","8.63","-12.95%","-22.61%","-18.26%","-36.68%","98.74%","33.54","2.74%","-0.95%","","21.32%","26.23%","21.46%","7.11","6.43","0.02","0.03","82.37%","31.59%","36.31%","2/2/2026 4:30:00 PM"
"1445","PLUG","Plug Power Inc","Industrials","Electrical Equipment & Parts","USA","2630.19","","1.89","3.85%","84314111","","","3.89","1.60","7.41","","69.95%","61.30%","-49.35%","56.87%","22.28%","1391.64","1328.32","4.55%","-0.12%","42.21%","6.63%","26.23%","3.41","102253.79","-8.92%","-19.57%","-30.77%","14.55%","-4.06%","7.39%","-87.78%","-97.01%","13.17%","7.10%","9.16%","0.82","1.92","0.18","-13.30%","-13.98%","-1.32%","-58.73%","173.91%","40.94","2.44%","1.37%","","-54.19%","-95.42%","-107.20%","1.32","0.70","0.40","0.70","-71.29%","-139.27%","-313.69%","11/10/2025 4:30:00 PM"
"1446","PLUS","ePlus Inc","Technology","Software - Application","USA","2213.81","17.22","83.88","2.18%","188238","14.49","0.90","0.94","2.08","6.78","","11.67%","11.03%","9.48%","16.16%","5.42%","26.39","25.81","2.20%","-0.22%","98.91%","-0.36%","2.98%","4.20","183.00","-3.39%","-3.31%","-8.38%","13.84%","-4.36%","20.22%","47.60%","76.14%","369.65%","5.14%","4.08%","1.03","1.00","3.64","-2.41%","-4.45%","9.85%","-10.75%","55.82%","44.06","1.87%","0.30%","0.60%","6.89%","12.23%","12.08%","2.02","1.67","0.00","0.00","24.73%","6.76%","5.45%","2/4/2026 4:30:00 PM"
"1447","PLXS","Plexus Corp","Technology","Electronic Components","USA","5391.58","31.30","201.28","1.11%","318405","23.39","3.01","1.31","3.63","21.62","70.68","3.38%","12.05%","9.78%","7.77%","3.53%","26.71","26.36","1.58%","-14.26%","97.80%","-0.24%","4.45%","4.38","267.77","-2.40%","14.89%","37.64%","51.70%","36.93%","43.93%","101.91%","144.24%","475.09%","3.88%","4.88%","1.19","0.80","8.52","4.49%","17.73%","38.75%","-4.98%","94.61%","63.12","0.17%","0.93%","","5.65%","12.63%","11.05%","1.59","0.75","0.08","0.13","9.74%","4.84%","4.28%","1/28/2026 4:30:00 PM"
